1
138
-65 -72
-62 -53
-52 -40
-49 -34
-65 -15
-92 -1
-117 7
-121 16
-111 1
-122 37
-130 65
-128 90
-120 65
-108 100
-108 65
-90 103
-98 72
-78 100
-85 70
-69 91
-76 66
-59 85
-65 65
-50 79
-52 65
-45 72
-44 65
-40 65
-39 55
-31 55
-31 45
-25 45
-18 40
-22 60
-24 78
-20 71
-16 92
-5 120
-5 137
0 122
-2 108
10 125
15 140
12 115
26 130
30 142
33 135
18 108
43 133
34 100
41 119
52 118
55 102
48 88
55 87
50 79
58 78
50 72
55 69
50 64
55 60
52 57
56 46
58 30
38 55
48 2
5 4
18 -18
63 -18
122 8
131 3
140 -28
68 -52
45 -45
22 -60
22 -65
20 -65
23 -73
20 -72
21 -80
20 -88
20 -88
15 -93
2 -107
5 -111
10 -115
12 -118
12 -121
11 -118
5 -120
0 -112
-19 -111
-10 -110
-10 -108
-8 -105
-9 -100
-4 -102
4 -85
3 -72
2 -69
-5 -67
-5 -75
0 -88
-5 -96
-26 -122
-11 -125
-9 -128
-15 -127
-25 -128
-29 -126
-44 -133
-52 -134
-54 -136
-55 -133
-53 -130
-40 -125
-51 -124
-55 -122
-57 -123
-56 -120
-50 -120
-45 -123
-38 -122
-44 -118
-44 -110
-48 -109
-42 -109
-39 -115
-34 -119
-27 -108
-27 -69
-39 -67
-45 -71
-50 -78
-52 -83
-55 -87
-58 -88
-65 -72























































































